
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,2,,316,,
Number of Spots per Time Point,2,,317,,
Number of Spots per Time Point,2,,318,,
Number of Spots per Time Point,2,,319,,
Number of Spots per Time Point,2,,320,,
Number of Spots per Time Point,1,,321,,
Number of Spots per Time Point,1,,322,,
Number of Spots per Time Point,1,,323,,
Number of Spots per Time Point,2,,324,,
Number of Spots per Time Point,2,,325,,
Number of Spots per Time Point,2,,326,,
Number of Spots per Time Point,2,,327,,
Number of Spots per Time Point,2,,328,,
Number of Spots per Time Point,2,,329,,
Number of Spots per Time Point,2,,330,,
Number of Spots per Time Point,2,,331,,
Number of Spots per Time Point,2,,332,,
Number of Spots per Time Point,2,,333,,
Number of Spots per Time Point,2,,334,,
Number of Spots per Time Point,3,,335,,
Number of Spots per Time Point,3,,336,,
Number of Spots per Time Point,3,,337,,
Number of Spots per Time Point,3,,338,,
Number of Spots per Time Point,3,,339,,
Number of Spots per Time Point,2,,340,,
Number of Spots per Time Point,2,,341,,
Number of Spots per Time Point,2,,342,,
Number of Spots per Time Point,2,,343,,
Number of Spots per Time Point,2,,344,,
Number of Spots per Time Point,2,,345,,
Number of Spots per Time Point,2,,346,,
Number of Spots per Time Point,2,,347,,
Number of Spots per Time Point,2,,348,,
Number of Spots per Time Point,2,,349,,
Number of Spots per Time Point,2,,350,,
Number of Spots per Time Point,2,,351,,
Number of Spots per Time Point,2,,352,,
Number of Spots per Time Point,3,,353,,
Number of Spots per Time Point,3,,354,,
Number of Spots per Time Point,3,,355,,
Number of Spots per Time Point,3,,356,,
Number of Spots per Time Point,4,,357,,
Number of Spots per Time Point,4,,358,,
Number of Spots per Time Point,4,,359,,
Number of Spots per Time Point,3,,360,,
Number of Spots per Time Point,3,,361,,
Number of Spots per Time Point,3,,362,,
Number of Spots per Time Point,2,,363,,
Number of Spots per Time Point,2,,364,,
Number of Spots per Time Point,2,,365,,
Number of Spots per Time Point,2,,366,,
Number of Spots per Time Point,2,,367,,
Number of Spots per Time Point,2,,368,,
Number of Spots per Time Point,2,,369,,
Number of Spots per Time Point,2,,370,,
Number of Spots per Time Point,2,,371,,
Number of Spots per Time Point,2,,372,,
Number of Spots per Time Point,2,,373,,
Number of Spots per Time Point,2,,374,,
Number of Spots per Time Point,2,,375,,
Number of Spots per Time Point,2,,376,,
Number of Spots per Time Point,2,,377,,
Number of Spots per Time Point,2,,378,,
Number of Spots per Time Point,2,,379,,
Number of Spots per Time Point,1,,380,,
Number of Spots per Time Point,1,,381,,
Number of Spots per Time Point,1,,382,,
Number of Spots per Time Point,1,,383,,
Number of Spots per Time Point,1,,384,,
Number of Spots per Time Point,1,,385,,
Number of Spots per Time Point,1,,386,,
Number of Spots per Time Point,1,,387,,
Number of Spots per Time Point,1,,388,,
Number of Spots per Time Point,0,,389,,
Number of Tracks,11,,,,
Total Number of Spots,617,,,,
