
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
14.441,µm,Spot,302,1000000612,689,
14.0451,µm,Spot,303,1000000452,690,
14.0451,µm,Spot,303,1000000612,691,
13.9612,µm,Spot,304,1000000452,692,
13.9612,µm,Spot,304,1000000612,693,
13.4496,µm,Spot,305,1000000452,694,
13.4496,µm,Spot,305,1000000612,695,
13.2292,µm,Spot,306,1000000452,696,
13.2292,µm,Spot,306,1000000612,697,
13.0503,µm,Spot,307,1000000452,698,
13.0503,µm,Spot,307,1000000612,699,
12.8903,µm,Spot,308,1000000452,700,
12.8903,µm,Spot,308,1000000612,701,
12.5622,µm,Spot,309,1000000452,702,
12.5622,µm,Spot,309,1000000612,703,
11.6186,µm,Spot,310,1000000452,704,
11.6186,µm,Spot,310,1000000612,705,
11.4707,µm,Spot,311,1000000452,706,
11.4707,µm,Spot,311,1000000612,707,
11.6718,µm,Spot,312,1000000452,708,
11.6718,µm,Spot,312,1000000612,709,
10.9738,µm,Spot,313,1000000452,710,
10.9738,µm,Spot,313,1000000612,711,
10.7691,µm,Spot,314,1000000452,712,
10.7691,µm,Spot,314,1000000612,713,
9.88738,µm,Spot,315,1000000452,714,
9.88738,µm,Spot,315,1000000612,715,
9.52872,µm,Spot,316,1000000452,716,
9.52872,µm,Spot,316,1000000612,717,
9.28199,µm,Spot,317,1000000452,718,
9.28199,µm,Spot,317,1000000612,719,
9.34108,µm,Spot,318,1000000452,720,
9.34108,µm,Spot,318,1000000612,721,
9.00721,µm,Spot,319,1000000452,722,
9.00721,µm,Spot,319,1000000612,723,
9.13856,µm,Spot,320,1000000452,724,
9.13856,µm,Spot,320,1000000612,725,
14.4448,µm,Spot,324,1000000612,729,
14.4448,µm,Spot,324,1000000730,730,
13.8811,µm,Spot,325,1000000612,731,
13.8811,µm,Spot,325,1000000730,732,
13.183,µm,Spot,326,1000000612,733,
13.183,µm,Spot,326,1000000730,734,
13.1012,µm,Spot,327,1000000612,735,
13.1012,µm,Spot,327,1000000730,736,
14.157,µm,Spot,328,1000000612,737,
14.157,µm,Spot,328,1000000730,738,
13.6576,µm,Spot,329,1000000730,739,
13.6576,µm,Spot,329,1000000612,740,
12.3709,µm,Spot,330,1000000730,741,
12.3709,µm,Spot,330,1000000612,742,
12.3534,µm,Spot,331,1000000730,743,
12.3534,µm,Spot,331,1000000612,744,
12.3714,µm,Spot,332,1000000730,745,
12.3714,µm,Spot,332,1000000612,746,
12.3037,µm,Spot,333,1000000730,747,
12.3037,µm,Spot,333,1000000612,748,
11.9293,µm,Spot,334,1000000730,749,
11.9293,µm,Spot,334,1000000612,750,
11.6083,µm,Spot,335,1000000730,751,
8.58586,µm,Spot,335,1000000612,752,
8.58586,µm,Spot,335,1000000753,753,
11.5728,µm,Spot,336,1000000730,754,
8.28072,µm,Spot,336,1000000612,755,
8.28072,µm,Spot,336,1000000753,756,
11.7321,µm,Spot,337,1000000730,757,
7.02874,µm,Spot,337,1000000612,758,
7.02874,µm,Spot,337,1000000753,759,
11.3986,µm,Spot,338,1000000730,760,
6.00976,µm,Spot,338,1000000612,761,
6.00976,µm,Spot,338,1000000753,762,
11.3254,µm,Spot,339,1000000730,763,
5.73299,µm,Spot,339,1000000612,764,
5.73299,µm,Spot,339,1000000753,765,
13.0629,µm,Spot,340,1000000730,766,
13.0629,µm,Spot,340,1000000753,767,
12.5314,µm,Spot,341,1000000730,768,
12.5314,µm,Spot,341,1000000753,769,
13.2206,µm,Spot,342,1000000730,770,
13.2206,µm,Spot,342,1000000753,771,
12.2161,µm,Spot,343,1000000730,772,
12.2161,µm,Spot,343,1000000753,773,
12.8963,µm,Spot,344,1000000730,774,
12.8963,µm,Spot,344,1000000753,775,
12.5382,µm,Spot,345,1000000730,776,
12.5382,µm,Spot,345,1000000753,777,
11.9501,µm,Spot,346,1000000730,778,
11.9501,µm,Spot,346,1000000753,779,
10.9913,µm,Spot,347,1000000730,780,
10.9913,µm,Spot,347,1000000753,781,
10.4012,µm,Spot,348,1000000730,782,
10.4012,µm,Spot,348,1000000753,783,
10.3628,µm,Spot,349,1000000730,784,
10.3628,µm,Spot,349,1000000753,785,
10.924,µm,Spot,350,1000000730,786,
10.924,µm,Spot,350,1000000753,787,
10.4663,µm,Spot,351,1000000730,788,
10.4663,µm,Spot,351,1000000753,789,
10.4167,µm,Spot,352,1000000730,790,
10.4167,µm,Spot,352,1000000753,791,
10.2496,µm,Spot,353,1000000730,792,
9.39575,µm,Spot,353,1000000753,793,
9.39575,µm,Spot,353,1000000794,794,
9.89209,µm,Spot,354,1000000730,795,
8.88609,µm,Spot,354,1000000753,796,
8.88609,µm,Spot,354,1000000794,797,
10.1252,µm,Spot,355,1000000730,798,
8.35903,µm,Spot,355,1000000753,799,
8.35903,µm,Spot,355,1000000794,800,
9.60719,µm,Spot,356,1000000730,801,
6.07204,µm,Spot,356,1000000753,802,
6.07204,µm,Spot,356,1000000794,803,
8.21998,µm,Spot,357,1000000730,804,
5.61409,µm,Spot,357,1000000753,805,
8.21998,µm,Spot,357,1000000806,806,
5.61409,µm,Spot,357,1000000794,807,
7.13302,µm,Spot,358,1000000730,808,
6.07437,µm,Spot,358,1000000753,809,
7.13302,µm,Spot,358,1000000806,810,
6.07437,µm,Spot,358,1000000794,811,
5.62646,µm,Spot,359,1000000753,812,
6.97588,µm,Spot,359,1000000806,813,
6.97588,µm,Spot,359,1000000730,814,
5.62646,µm,Spot,359,1000000794,815,
5.81473,µm,Spot,360,1000000806,816,
5.81473,µm,Spot,360,1000000730,817,
9.3068,µm,Spot,360,1000000794,818,
5.81116,µm,Spot,361,1000000806,819,
5.81116,µm,Spot,361,1000000730,820,
9.24104,µm,Spot,361,1000000794,821,
5.72156,µm,Spot,362,1000000806,822,
5.72156,µm,Spot,362,1000000730,823,
8.91528,µm,Spot,362,1000000794,824,
8.98147,µm,Spot,363,1000000806,825,
8.98147,µm,Spot,363,1000000794,826,
8.08317,µm,Spot,364,1000000806,827,
8.08317,µm,Spot,364,1000000794,828,
10.196,µm,Spot,365,1000000806,829,
10.196,µm,Spot,365,1000000794,830,
9.9524,µm,Spot,366,1000000806,831,
9.9524,µm,Spot,366,1000000794,832,
8.68635,µm,Spot,367,1000000806,833,
8.68635,µm,Spot,367,1000000794,834,
8.57534,µm,Spot,368,1000000806,835,
8.57534,µm,Spot,368,1000000794,836,
8.13558,µm,Spot,369,1000000806,837,
8.13558,µm,Spot,369,1000000794,838,
7.44708,µm,Spot,370,1000000806,839,
7.44708,µm,Spot,370,1000000794,840,
6.96917,µm,Spot,371,1000000806,841,
