
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Birth [s],Death [s],ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
44713.886719,1652.722412,-3.274428,µm,Spot,Position,0.000,0.010,544,544,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44717.464844,1694.496826,-3.802413,µm,Spot,Position,0.000,0.010,546,546,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44733.738281,1679.415527,0.105974,µm,Spot,Position,0.000,0.010,548,548,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44584.027344,1769.900879,0.516462,µm,Spot,Position,0.000,0.010,577,577,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44657.167969,1842.354370,-2.773951,µm,Spot,Position,0.000,0.010,620,620,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44709.968750,1830.843140,-2.130206,µm,Spot,Position,0.000,0.010,643,643,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44715.515625,1861.575195,2.932355,µm,Spot,Position,0.000,0.010,647,647,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44740.152344,1855.197632,6.754991,µm,Spot,Position,0.000,0.010,652,652,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44764.621094,1858.210815,7.309442,µm,Spot,Position,0.000,0.010,653,653,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44689.488281,1599.244019,18.045797,µm,Spot,Position,0.000,0.010,693,693,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44689.949219,1637.674194,21.769491,µm,Spot,Position,0.000,0.010,700,700,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44714.351563,1575.878052,16.345755,µm,Spot,Position,0.000,0.010,709,709,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44605.339844,1657.624634,22.704260,µm,Spot,Position,0.000,0.010,744,744,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44697.628906,1690.152588,15.267438,µm,Spot,Position,0.000,0.010,750,750,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44678.375000,1667.615479,16.611814,µm,Spot,Position,0.000,0.010,752,752,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
44755.371094,1650.034790,18.183561,µm,Spot,Position,0.000,0.010,761,761,Neurons,200002,2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465],Y:\Katrin\Dragonfly\20200601-km198_nbt-secA5-BFP_mpeg-eGFP-caax_3dpf\2020-06-01\2020-06-01_488_GFP_CF40_Sona 1_405_DAPI_CF40_Sona 1_Exp1_secA5-BFP_mpeg1-eGFP-caax_F01_[ims1_2020-06-02T10-46-03.465].ims,
