
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0.524316,,Spot,355,1000001217,1244,
0.626031,,Spot,356,1000001217,1245,
0.931628,,Spot,357,1000001217,1246,
0.307651,,Spot,358,1000001217,1247,
0,,Spot,358,1000001248,1248,
1.2558,,Spot,359,1000001217,1249,
1.27465,,Spot,359,1000001248,1250,
0.736153,,Spot,360,1000001217,1251,
1.22179,,Spot,360,1000001248,1252,
0.376062,,Spot,361,1000001217,1253,
1.61789,,Spot,361,1000001248,1254,
0.755479,,Spot,362,1000001217,1255,
0.552366,,Spot,362,1000001248,1256,
0.753873,,Spot,363,1000001217,1257,
0.881395,,Spot,363,1000001248,1258,
0.939731,,Spot,364,1000001248,1259,
0.420722,,Spot,365,1000001248,1260,
2.69842,,Spot,366,1000001248,1261,
1.39596,,Spot,367,1000001248,1262,
1.81395,,Spot,368,1000001248,1263,
3.17778,,Spot,369,1000001248,1264,
1.44654,,Spot,370,1000001248,1265,
0.371189,,Spot,371,1000001248,1266,
0.128795,,Spot,372,1000001248,1267,
1.32416,,Spot,373,1000001248,1268,
0.536731,,Spot,374,1000001248,1269,
1.9153,,Spot,375,1000001248,1270,
0.768985,,Spot,376,1000001248,1271,
2.46152,,Spot,377,1000001248,1272,
0.606875,,Spot,378,1000001248,1273,
0.512685,,Spot,379,1000001248,1274,
0.493075,,Spot,380,1000001248,1275,
0.49595,,Spot,381,1000001248,1276,
0.641654,,Spot,382,1000001248,1277,
0.71838,,Spot,383,1000001248,1278,
0,,Spot,384,1000001248,1279,
0.131193,,Spot,385,1000001248,1280,
0.556962,,Spot,386,1000001248,1281,
0.54414,,Spot,387,1000001248,1282,
0.310989,,Spot,388,1000001248,1283,
0.646033,,Spot,389,1000001248,1284,
0.48276,,Spot,390,1000001248,1285,
0.898905,,Spot,391,1000001248,1286,
