
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
57,,Spot,279,1000001030,1133,
21,,Spot,280,1000001092,1134,
58,,Spot,280,1000001030,1135,
22,,Spot,281,1000001092,1136,
59,,Spot,281,1000001030,1137,
23,,Spot,282,1000001092,1138,
60,,Spot,282,1000001030,1139,
24,,Spot,283,1000001092,1140,
61,,Spot,283,1000001030,1141,
25,,Spot,284,1000001092,1142,
62,,Spot,284,1000001030,1143,
26,,Spot,285,1000001092,1144,
63,,Spot,285,1000001030,1145,
27,,Spot,286,1000001092,1146,
64,,Spot,286,1000001030,1147,
28,,Spot,287,1000001092,1148,
65,,Spot,287,1000001030,1149,
29,,Spot,288,1000001092,1150,
66,,Spot,288,1000001030,1151,
30,,Spot,289,1000001092,1152,
67,,Spot,289,1000001030,1153,
31,,Spot,290,1000001092,1154,
68,,Spot,290,1000001030,1155,
32,,Spot,291,1000001092,1156,
69,,Spot,291,1000001030,1157,
33,,Spot,292,1000001092,1158,
70,,Spot,292,1000001030,1159,
34,,Spot,293,1000001092,1160,
71,,Spot,293,1000001030,1161,
35,,Spot,294,1000001092,1162,
72,,Spot,294,1000001030,1163,
36,,Spot,295,1000001092,1164,
73,,Spot,295,1000001030,1165,
37,,Spot,296,1000001092,1166,
74,,Spot,296,1000001030,1167,
38,,Spot,297,1000001092,1168,
75,,Spot,297,1000001030,1169,
39,,Spot,298,1000001092,1170,
76,,Spot,298,1000001030,1171,
40,,Spot,299,1000001092,1172,
77,,Spot,299,1000001030,1173,
41,,Spot,300,1000001092,1174,
78,,Spot,300,1000001030,1175,
42,,Spot,301,1000001092,1176,
79,,Spot,301,1000001030,1177,
43,,Spot,302,1000001092,1178,
80,,Spot,302,1000001030,1179,
44,,Spot,303,1000001092,1180,
81,,Spot,303,1000001030,1181,
45,,Spot,304,1000001092,1182,
82,,Spot,304,1000001030,1183,
46,,Spot,305,1000001092,1184,
83,,Spot,305,1000001030,1185,
47,,Spot,306,1000001092,1186,
48,,Spot,307,1000001092,1187,
49,,Spot,308,1000001092,1188,
50,,Spot,309,1000001092,1189,
51,,Spot,310,1000001092,1190,
52,,Spot,311,1000001092,1191,
0,,Spot,313,1000001192,1192,
1,,Spot,314,1000001192,1193,
2,,Spot,315,1000001192,1194,
3,,Spot,316,1000001192,1195,
4,,Spot,317,1000001192,1196,
5,,Spot,318,1000001192,1197,
6,,Spot,319,1000001192,1198,
7,,Spot,320,1000001192,1199,
8,,Spot,321,1000001192,1200,
9,,Spot,322,1000001192,1201,
10,,Spot,323,1000001192,1202,
11,,Spot,324,1000001192,1203,
12,,Spot,325,1000001192,1204,
13,,Spot,326,1000001192,1205,
14,,Spot,327,1000001192,1206,
15,,Spot,328,1000001192,1207,
16,,Spot,329,1000001192,1208,
